Day,Number of Vaccinations (First Dose)
1/27/2021,26
1/28/2021,541
2/7/2021,31160
2/8/2021,46509
2/9/2021,101082
2/10/2021,154914
2/11/2021,204540
2/13/2021,194371
2/14/2021,169353
2/15/2021,226678
2/16/2021,226902
2/17/2021,226755
2/18/2021,261945
2/20/2021,234564
2/22/2021,225280
2/23/2021,182896
2/24/2021,181985
2/25/2021,181439
2/27/2021,133833
2/28/2021,125752
3/1/2021,116300
3/2/2021,114680
3/3/2021,118654
3/4/2021,121010
3/6/2021,100983
3/7/2021,107200
3/8/2021,117148
3/9/2021,107463
3/10/2021,104990
3/11/2021,99174
3/13/2021,84292
3/14/2021,95675
3/15/2021,87860
3/16/2021,94437
3/18/2021,107433
3/20/2021,72923
3/21/2021,80222
3/22/2021,70933
3/23/2021,78330
3/24/2021,78817
3/25/2021,70407
3/27/2021,65368
3/28/2021,58424
3/29/2021,56431
3/31/2021,50752
4/1/2021,42360
4/3/2021,39843
4/4/2021,45538
4/5/2021,41322
4/6/2021,16181
4/7/2021,13028
4/8/2021,14804
4/10/2021,19943
4/11/2021,23657
4/12/2021,22456
4/13/2021,26750
4/15/2021,10572
4/17/2021,12157
4/18/2021,15048
4/19/2021,15057
4/20/2021,15938
4/21/2021,16817
4/22/2021,16784
4/24/2021,20194
4/25/2021,19520
4/26/2021,891
4/27/2021,325
4/28/2021,30
4/29/2021,10
5/2/2021,53
5/3/2021,10
5/4/2021,38
5/5/2021,54
5/6/2021,43
5/8/2021,2
5/9/2021,44
5/11/2021,10
5/12/2021,2
5/23/2021,59
5/24/2021,30
5/25/2021,501
5/27/2021,14
5/29/2021,738
5/30/2021,903
6/3/2021,20
6/6/2021,30
6/19/2021,4320
6/20/2021,4064
6/21/2021,6007
6/22/2021,6015
6/23/2021,5692
6/24/2021,4720
6/26/2021,6784
6/27/2021,6990
6/28/2021,4291
6/29/2021,4837
6/30/2021,4975
7/1/2021,4120
7/3/2021,7949
7/4/2021,8616
7/5/2021,9599
7/6/2021,9116
7/7/2021,10452
7/8/2021,22800
7/10/2021,44762
7/11/2021,50281
7/12/2021,69623
7/13/2021,138167
7/14/2021,178196
7/15/2021,196633
7/17/2021,182016
7/18/2021,195375
7/19/2021,180809
7/24/2021,159663
7/25/2021,211375
7/26/2021,217058
7/27/2021,241251
7/28/2021,251741
7/29/2021,250928
7/31/2021,284725
8/1/2021,302069
8/2/2021,290685
8/3/2021,298588
8/4/2021,312536
8/5/2021,279844
8/7/2021,3070268
8/8/2021,596224
8/9/2021,494721
8/10/2021,318437
8/11/2021,253715
8/12/2021,288507
8/14/2021,149914
8/16/2021,174880
8/17/2021,161491
8/18/2021,179758
8/19/2021,180965
8/21/2021,227526
8/22/2021,275209
8/23/2021,287210
8/24/2021,293857
8/25/2021,299915
8/26/2021,285908
8/28/2021,242665
8/29/2021,218051
8/31/2021,200724
9/1/2021,187150
9/2/2021,199025
9/4/2021,205090
9/5/2021,259401
9/6/2021,274833
9/7/2021,226451
9/8/2021,300794
9/9/2021,294255
9/11/2021,230769
9/12/2021,255014
9/13/2021,217100
9/14/2021,184893
9/15/2021,235755
9/16/2021,291685
9/18/2021,297017
9/19/2021,342960
9/20/2021,332808
9/21/2021,340551
9/22/2021,345438
9/23/2021,356955
9/25/2021,327281
9/26/2021,381048
9/27/2021,302248
9/28/2021,6625123
9/29/2021,1186093
9/30/2021,632897
10/2/2021,341578
10/3/2021,451363
10/4/2021,411464
10/5/2021,446088
10/6/2021,418131
10/7/2021,435305
10/9/2021,349528
10/10/2021,420194
10/11/2021,320207
10/12/2021,286419
10/13/2021,266544
10/14/2021,274201
10/16/2021,300023
10/17/2021,428016
10/18/2021,363618
10/19/2021,330760
10/21/2021,392214
10/23/2021,335106
10/24/2021,393181
10/25/2021,337988
10/26/2021,330868
10/27/2021,315190
10/28/2021,247662
10/30/2021,266113
10/31/2021,372331
11/1/2021,310415
11/2/2021,366337
11/3/2021,303942
11/4/2021,269414
11/6/2021,1346997
11/7/2021,916486
11/8/2021,1129320
11/9/2021,2593836
11/10/2021,1049734
11/11/2021,985671
11/12/2021,2530
11/13/2021,217057
11/14/2021,284511
11/15/2021,253516
11/16/2021,499779
11/17/2021,470506
11/18/2021,607084
11/20/2021,715369
11/21/2021,476984
11/22/2021,514388
11/23/2021,1102993
11/24/2021,723227
11/25/2021,790247
11/27/2021,955657
11/28/2021,536223
11/29/2021,822722
11/30/2021,1496419
12/1/2021,998927
12/2/2021,1038056
12/3/2021,1899
12/4/2021,642635
12/5/2021,666819
12/6/2021,225731
12/7/2021,311518
12/8/2021,348297
12/9/2021,320380
12/11/2021,227487
12/12/2021,291402
12/13/2021,325250
12/14/2021,338574
12/15/2021,367004
12/18/2021,363539
12/19/2021,315552
